iter	Logloss
253	0.008425294475
254	0.008371659159
255	0.008307257982
256	0.008231168367
257	0.008157320035
258	0.00809247608
259	0.008039200614
260	0.00799029665
261	0.007915966298
262	0.007855607872
263	0.007790341132
264	0.007736999767
265	0.00768147043
266	0.007630357022
267	0.007587335039
268	0.007543973939
269	0.007474523025
270	0.007399326369
271	0.007336855495
272	0.007282403484
273	0.00723052447
274	0.00717803312
275	0.007130887679
276	0.007092634811
277	0.007039169054
278	0.007000014341
279	0.00694198605
280	0.006896606536
281	0.006840584073
282	0.006805284782
283	0.006764578866
284	0.006726186797
285	0.006655433465
286	0.00661985281
287	0.006586403115
288	0.006532599722
289	0.006490273004
290	0.006447136995
291	0.006406100848
292	0.006365187612
293	0.006319645944
294	0.006292595791
295	0.006264885914
296	0.006217387288
297	0.006186660897
298	0.006156541659
299	0.006125115931
300	0.006094457289
301	0.006064812297
302	0.006047516577
303	0.006019071453
304	0.005992572551
305	0.005970607675
306	0.005929591519
307	0.0059082549
308	0.005895201107
309	0.005874574931
310	0.005853243124
311	0.005807190929
312	0.005781847098
313	0.005745054359
314	0.005708138337
315	0.005681462102
316	0.00564583369
317	0.005614807794
318	0.005577460472
319	0.00556110584
320	0.005521917067
321	0.005491861136
322	0.005459963013
323	0.00543077968
324	0.005418248631
325	0.005395410048
326	0.005368944835
327	0.005341312333
328	0.005303351565
329	0.005278472725
330	0.005257083534
331	0.005233242037
332	0.005196493354
333	0.005173199405
334	0.005152777958
335	0.005121102705
336	0.005096818801
337	0.005077981505
338	0.005039303629
339	0.005012507443
340	0.004986611992
341	0.00497018887
342	0.004945822778
343	0.004927121721
344	0.00489837302
345	0.004874517085
346	0.004846714655
347	0.004814748783
348	0.004786261454
349	0.004759107641
350	0.004736952845
351	0.004711972566
352	0.00469445916
353	0.00466878991
354	0.004650861862
355	0.004622882099
356	0.004593542905
357	0.004576997241
358	0.004564120412
359	0.004544112865
360	0.004518968951
361	0.004492212749
362	0.004474580503
363	0.004454506318
364	0.004439085739
365	0.004417385568
366	0.004400761048
367	0.00439032727
368	0.004353591173
369	0.004325609188
370	0.004311811263
371	0.004289384729
372	0.004271780621
373	0.004252991452
374	0.004227144129
375	0.004204739068
376	0.004194477439
377	0.00417826497
378	0.004157268578
379	0.004138782986
380	0.004105806056
381	0.004089227444
382	0.004065646579
383	0.004042997545
384	0.004039959929
385	0.004020754268
386	0.003996912771
387	0.00398355096
388	0.003963411987
389	0.003948335338
390	0.003933878059
391	0.003916358359
392	0.003900036306
393	0.003888130181
394	0.003867611367
395	0.003849227955
396	0.003830628337
397	0.003811413421
398	0.003790379267
399	0.003774057954
